Comment Thread #,Author Name,Comment Text,Like Count,Published Date,Total Reply Count
1,aLl aRoUnD mE aRe FaMiLiAr fAcEs,Congrats babe!,1,10 months ago,0
1,Raptor XXL,"Kellie, now you should start dieting and do some workout.",0,10 months ago,0
1,Karina Prai,Congrats!,1,10 months ago,0
1,Ray,"DaRUde117

Some people like studying with the company of others nearby. This doesn’t mean they are attention beggars (though they might be), it means they have a social life. Unlike you, DaRUde, here trying to make someone who commented on a post years ago feel bad for something they shouldn’t feel bad for.",1,10 months ago,0
1,Study with me,congratulations,1,10 months ago,0
1,K K,Congrats from Germany,1,10 months ago,0
1,Rida Fatima,@Andres now u hv 123 likes..thanks to mee,0,9 months ago,0
1,Alcest Abyss,Keep going. Congrats! I'm happy for you. Wish you all the best in your further success! ❤️,1,8 months ago,0
1,newyorker2581,Congrats!,1,7 months ago,0
1,Amaan Rockx,You’re a good human! I appreciate you.,1,7 months ago,0
1,Bruhhh,This made me cry,1,7 months ago,0
1,Qosqar Musaxanli,https://youtu.be/6cszNuuFk6k,0,6 months ago,0
1,Nursyuhaidah Azizan,agree!My third video studying with you.I feel comfort with your company!,1,6 months ago,0
1,Alanis Houkes,2 years after you posted this comment i first found this video. I'm 20 (well in 4 days i am) and i live in the UK. I'm currently doing online courses as i can't attend normal education because of my disabilities. I'm hoping to start online university this coming year. This comment gives me some hope that it might be tough but i'll get there. ,1,6 months ago,0
1,Wi Na,Congratulations and thank you for sharing your experience.  I just sent this to a friend tonight to help her have a study companion.  I’m overjoyed to see your post and know the impact can be so fulfilling.  ✨💕✨,1,5 months ago,0
1,Dione Vasconcelos Silva,"I never understood what ""study with me"" videos is for...I finally got it across your comment and I find it such a good idea...To study with other person like that.Ill certanly try it!",0,4 months ago,0
1,Nadezda Mikusova,If the music of this video is not really distracting from effectively studying? I would put on my head my lead helmet and use silence to protect myself from any distraction...🎶,0,4 months ago,0
1,Boumakrane Hamza,congrats,0,4 months ago,0
1,Mirine TV,that's so sweet . u motived me too ty so much,0,3 months ago,0
1,carebitch,All that because of a girl studying for 2 hours?,0,3 months ago,0
1,BT21 universe,https://www.youtube.com/watch?v=55gwCh4Jt_E,1,3 months ago,0
1,Buy Apetamin Butt Hips Enhancement SlimThickDotNet,"How wonderul, this makes me want to cry!",0,3 months ago,0
1,I A,It just blows my mind whenever I stumble upon videos like these...there's some really fucking lonely people out there if this shit gets over 5M views....well..good luck with you graduating...welcome to the real world where your diplomas don't mean shit...bye,0,3 months ago,0
1,sarab _alkasier,فف,0,2 months ago,0
1,sarab _alkasier,ف,0,2 months ago,0
1,Βαγγέλης Μανουσάκης,omg 4.5 years only ?? It took me 4 years to pass 11-13/46 classes...i feel so depressed but I will try do my best. Thanks,0,2 months ago,0
1,Vipul Dwivedi,Say thanks to kitty too😍,0,2 months ago,0
1,《《sia kay》》,congrats person even tho its 2 years late,0,2 months ago,0
1,Ciri 4K Gaming,Congrats from 2 years later!,0,2 months ago,0
1,rokeya parvin,Hey we can study together. Im looking for a partner,0,2 months ago,0
1,Sophia Shaine,"i wish i could to, im so scared to fail because i think i cant",0,2 months ago,0
1,Daniela Meléndez,Congrats 🎉🎉🎉🎉,0,1 month ago,0
1,Irrelevant _,congratulations 🥳,0,1 month ago,0
1,Odontuya Dorj,CONGRATULATIONS!!!,0,1 month ago,0
1,the_degenerate_weeb,.,0,3 weeks ago,0
1,Shug Dunning,Niceee!!,0,2 weeks ago,0
1,Harvey Kent Lagura,awww i love this so so so much <3,0,1 week ago,0
1,Jacob Ap,Congratulations,0,3 days ago,0
2,Lindie Botes,I've used this video for so much! Replying emails? Open this video. Doing designs for work? Open this video. Actually studying? Open this video.,607,7 months ago,6
2,I_wage USA,"Hey Lindie Botes,  let us help you with your assignments ..place an order now at electwriting.com",2,3 months ago,0
2,Dakota,I knew I recognized you lol. I love your channel so much!!<3,0,2 months ago,0
2,Maggie Reid,I love your channel so much! You have really helped me progress through learning languages. ❤️,0,2 months ago,0
2,rokeya parvin,I want a study partner!!,0,1 month ago,0
2,yang,Hotel? Trivago.,0,1 month ago,0
2,Mohamed Elya,Writing a comment on her Youtube video? Open this video.,0,3 weeks ago,0
3,Lindie Botes,Your sleepy cat at 54:20 is just the sweetest,261,7 months ago,1
3,flashlight88,25:16 ist the best <3,6,1 month ago,0
4,Rosé chipmunk cheeks,I took a 5 hours break instead of 5 minutes,5K,1 year ago,43
4,Manda Lu,SO TRUUUUE,40,11 months ago,0
4,kübra,same,12,10 months ago,0
4,Rofaida shawky,Omg this is so true,6,10 months ago,0
4,Inactive Imaginations,Why would you 😤 how dare you just😂😂,17,10 months ago,0
4,Study with me,lol,1,10 months ago,0
4,coffee laTAE,Same lol,3,9 months ago,0
4,Zoya Zumi,Blinkue.....,4,9 months ago,0
4,Chiemerie & Imade,that always happens to me,4,9 months ago,0
4,Gabriel Matozzo,Hahaha that just happened with me too,3,9 months ago,0
4,PROUDLY BLINK,I took  a day break,12,8 months ago,0
4,Sally That Girl,only 5 hours? i took a day off.......,3,8 months ago,0
4,Mea L,I thought i was alone T.T i felt so bad about it lol,2,8 months ago,0
4,Kpreeti Kaur,🤣🤣🤣🤣😹😹😹😹,1,8 months ago,0
4,Ho pe,😂sameee,0,8 months ago,0
4,حسين الماجد,Did you come back from the break? I didn’t.,0,7 months ago,0
4,Ferry T,Always happen to me! :),0,7 months ago,0
4,Victoria B,Felt this comment,0,7 months ago,0
4,thits gut,The music she uses make you sleepy indeed.,0,7 months ago,0
4,noor,+,0,7 months ago,0
4,Muni,Whoa!!,0,7 months ago,0
4,Sence Sevda,hello my new channel ❤️ https://www.youtube.com/channel/UCaRkCmD7V7hSMjrb9mFyKgA,0,7 months ago,0
4,Van 21,"this literally happens, the time goes so fast",0,6 months ago,0
4,david rocha,Procrastinate is my second name hahaha,0,6 months ago,0
4,dlma ____,LMAO AHAH YOU SOUND LIKE ME,0,5 months ago,0
4,Mariam Tarek,@kübra hello turk one,0,5 months ago,0
4,Anti Thrice,I took like a month,0,4 months ago,0
4,Gadon Low,lol,0,4 months ago,0
4,junyan wang,haha.........,0,4 months ago,0
4,I_wage USA,"Hey Rose,  let us help you with your assignments ..place an order now at electwriting.com",0,3 months ago,0
4,BT21 universe,https://www.youtube.com/watch?v=55gwCh4Jt_E,0,3 months ago,0
4,Elijah Jean-Leon,"Lol, ME 2",0,2 months ago,0
4,please sir more videos,i am still in break,0,2 months ago,0
4,amir zakaria,Hhhhhh you're right,0,2 months ago,0
4,Olivia Hall,Haha. The struggle is real. I usually manage to last a few hours before that happens.,0,2 months ago,0
4,guktefn grshoo,Disappointing. Do better. I hope my YouTube comment changes your life,0,2 months ago,0
4,light of faith,mood,0,2 months ago,0
4,N,same girl!,0,2 months ago,0
4,Zee,i came back the next day pls-,0,3 weeks ago,0
4,light of faith,@Zee omggg  really?hahahahahhaa so u took a whole day as  a break?,0,3 weeks ago,0
4,Justin N,AHHA THIS MADE ME GIGGLE,1,3 weeks ago,0
4,nguyen kinoko,2 hours LOL,1,2 weeks ago,0
4,light of faith,@Justin N frrr,1,2 weeks ago,0
4,i named my car JIMIN now i'm gonna Park JIMIN,BLINK ;),1,2 weeks ago,0
5,CarateCarter,She's the real-life lofi hip hop girl,6K,1 year ago,33
5,Abhi Prabakar,omg so true.. with the cat and the ponytail and all,156,1 year ago,0
5,hamuraku,xD,3,1 year ago,0
5,jambajuice89,That's kinda inappropriate...and racist.,2,1 year ago,0
5,CarateCarter,jambajuice89 how 😂,55,1 year ago,0
5,CarateCarter,I didn't even mention race you trippin,79,1 year ago (edited),0
5,John Wig,@jambajuice89 ure racist since u played the race card for no reason,78,1 year ago,0
5,NUR AIN,@jambajuice89 youre stupid,13,1 year ago,0
5,Good Zil Hunting,not playing lofi though smh,6,1 year ago,0
5,INCEPTION 25,rofl,0,1 year ago,0
5,Shreyosi Banerjee,Yesss omg,2,10 months ago,0
5,Inactive Imaginations,Yes,0,10 months ago,0
5,Fluffyclouds,This was just a silly cute comment. Relax people. The lofi hip hop girl is one we know and love,18,9 months ago,0
5,Amaan Rockx,"Holy heck,the cat...the ponytail damnnnnn haha good catch",9,8 months ago,0
5,Epiphany L.,"@jambajuice89 what the hell, dude",7,7 months ago,0
5,Sence Sevda,hello my new channel ❤️ https://www.youtube.com/channel/UCaRkCmD7V7hSMjrb9mFyKgA,0,7 months ago,0
5,Steve,wtf is lofi?,0,6 months ago,0
5,CarateCarter,"@Steve Lo-fi is a music or production quality in which elements usually regarded as imperfections of a recording or performance are audible, sometimes as a deliberate aesthetic choice. Lo-fi aesthetics are based on weird characteristics that arise during the recording process. More specifically, those that are generally viewed in the field of audio engineering as undesirable effects, such as a degraded audio signal or fluctuations in tape speed. The aesthetic may also extend to substandard or disaffected musical performances. Recordings deemed unprofessional or ""amateurish"" are usually with respect to performance (out-of-tune or out-of-time notes) or mixing (audible hiss, distortion, or room acoustics). Musicologist Adam Harper identifies the difference as ""phonographic"" and ""non-phonographic imperfections"". He defines the former as ""elements of a recording that are perceived (or imagined to be perceived) as detrimental to it and that originate in the specific operation of the recording medium itself. Today, they are usually the first characteristics people think about when the subject of 'lo-fi' is brought up.""",8,6 months ago,0
5,gelie,give her a jacket and a scarf and put on lofi music yes,2,6 months ago,0
5,Kalpesh Mavji,Maybe she got it from that 🤔 and improvised into her version.,0,5 months ago,0
5,s 97,@jambajuice89 don't be one of those...,2,4 months ago,0
5,Promila rani123,"@jambajuice89 she meant as in how she just stays there and is studying with her cat not abt the ethnicity, some people are too quick to judge",1,4 months ago,0
5,Auro kris,🤣🤣🤣😁 That's so accurate,0,4 months ago,0
5,Rahmah Assaf,She NEEDS to call her cat gigi,0,3 months ago,0
5,Ilse Amezquita Talwar,"my study playlist just hit lofi hip hop while studying here! (checking comments during 5 min whoop, back to study! good luck everyone!)",2,3 months ago,0
5,Ackermaniac,Bruh I thought she was Asa Akira at first.,0,3 months ago,0
5,Aligatorxx3,omg i love this,0,2 months ago,0
5,Silver Light,omg!! you are right!,1,2 months ago,0
5,Yunxuan Qi,jambajuice89 calmdown ok? how did you get the meaning''racist''in this comment???,1,2 months ago,0
5,svgarihuni,@jambajuice89 nope. it isn't. it's cause she has a cat a ponytail and she is studying. she is basically like the lofi hip hop animation,0,1 month ago,0
5,Darling,jambajuice89 IM DEAD,0,3 weeks ago,0
5,Darling,CarateCarter copy paste,0,3 weeks ago,0
5,Michelle West,@Steve Try watching Chilled Cow’s study sessions to understand what lofi sounds like. They’re really just perfect.,0,1 week ago,0
5,FutureDrTulip Study Vlogs,Study with me Live -https://www.youtube.com/watch?v=PqyJzeZuBII&feature=youtu.be  🙂,0,1 week ago,0
6,Kaley Chapman,hey stop reading the comments!!! GET  TO WORK,4K,2 years ago,72
6,smileypc44,"Finished studying, so now I can lol",31,2 years ago,0
6,Tabby Will,smileypc44 me too heheheh,6,2 years ago,0
6,Philip Gouldman,dude i'm on break >.>,45,2 years ago,0
6,leaa,hhhhhh okaaay,11,2 years ago,0
6,DDEad Manaoom,im on my break hahaha,6,1 year ago,0
6,Marlene Córdova,thanks :C,4,1 year ago,0
6,wissal bgl,But it's my 30 minutes break :3,7,1 year ago,0
6,LuvMyWohdes 14,Kaley Chapman IM EATING FUCKING CEREAL RN,12,1 year ago,0
6,Rachel Leung,"Gee, thanks M O M!!!!",8,1 year ago,0
6,gurjodh dhillon,Nooo,3,1 year ago,0
6,Naomie Pierre Guillaume,motorheadbanger90 lmaooo,2,1 year ago,0
6,Mila Zou,okay okay gosh,3,1 year ago,0
6,eyeless clowned • 135 years ago,Okay..mom,4,1 year ago,0
6,Nirob Uddin,Wtf Are you doing then?,2,1 year ago,0
6,Kankipati Noel,Why u commented,1,1 year ago,0
6,93erra,you caught me hahahahha,5,1 year ago,0
6,Mi Es,Thank yu ;(,1,1 year ago,0
6,Fred Lee,Kaley Chapman I’ve been studying for 2 hours straight plz I need a break!!,1,1 year ago,0
6,Expert Gamer 316,LoL,1,1 year ago,0
6,Hansel Luna,Hahaha got me,1,1 year ago,0
6,Onza Winter Music,Kaley Chapman HAHAHAHAHAHA,1,1 year ago,0
6,Gabriel Garza,@gurjodh dhillon oh yeah yeah,1,1 year ago,0
6,Elizabeth Cleckler,You caught me!,2,1 year ago,0
6,CRAZY Goldy,Woho I finished my exams and finally it's my 2 week break so I can read the comments as long as I can muahahaha,2,1 year ago (edited),0
6,star,911 likes.... hm?,2,1 year ago,0
6,faten 2000,ok hhhhhh,0,1 year ago,0
6,tissue F,I’m so offended,2,1 year ago,0
6,DrBlue Plans,Lol how did u know! Thanks for the kick up the bum! Getting back at it now,0,1 year ago,0
6,Mary xii_iv,Tch FINEE,0,1 year ago,0
6,jack suliman,hahahahahaha thanks,0,1 year ago,0
6,Eva Kráčmarová,OK :(,0,1 year ago,0
6,jokw,Thank you:),0,1 year ago,0
6,khawla khawla,Hahahaaha ok,0,1 year ago,0
6,sisi er,okay!i know,0,1 year ago,0
6,Deniz,Lol okay 😂😂😂,0,1 year ago,0
6,Periasamy Ramesh,"@Kaley, work is done 😄",0,1 year ago,0
6,Hai Vivi,Calm down I’m just resting I’ve been working for hour,0,1 year ago,0
6,charles,Inshallah,0,1 year ago,0
6,Freddan2006 Eng,Thx for reminding,0,1 year ago,0
6,Tiffahni A. Harris,shit ive been caught,0,1 year ago,0
6,Fatma Arıkmert,Thank u🎈,0,1 year ago,0
6,Bensu Dokumacı,Oh. You are right🤦‍♀️,1,1 year ago,0
6,Huazui. C,Thanks for your warning 😂,1,1 year ago,0
6,StudyWithJosh,come check out my study video!,0,1 year ago,0
6,dracobluelol,"You are trying to make people stop reading comments by making them read your comment?


Don't you think you're a bit selfish?",0,1 year ago,0
6,Angela W,Lol thx ok buddy ol pal,0,1 year ago,0
6,Progga Islam 100,Yeah sorry 🤣😂,0,1 year ago,0
6,lala lala,"Ok, DUH",0,1 year ago,0
6,Natalie Jay,same here!,0,1 year ago,0
6,saurabh pasrija,tmkc,0,1 year ago,0
6,Alexandria Fuller,Thank you !!,0,1 year ago,0
6,ioetdibuja,Jajja,0,1 year ago,0
6,Basem Al-Qadasi,"hhhhhh, Exactly what I am doing.",0,1 year ago,0
6,RedMi 4a,"Hey stop comment and
GO TO WORK!!!",0,1 year ago,0
6,luvlowkey vlogsss,I really don’t feel like it,0,1 year ago,0
6,Jason Borunda,Kaley Chapman hahaha,0,1 year ago,0
6,Sofia Coupland,THANK U,0,1 year ago,0
6,Found a mustache So I wore it,What about youuuu,0,1 year ago,0
6,Jason Borunda,Aleto. Kin. Let us study business together and make lots of cash flow,0,1 year ago,0
6,baby monchi,lol thnx for the reminder,1,1 year ago,0
6,Danyele Wright,I needed that. Lolol,0,1 year ago,0
6,Amira,Well thanks I needed that😂🖤,0,1 year ago,0
6,Rohan Crawley,Yes,0,1 year ago,0
6,SOURABH RAJPUT,"Please show much love for this video 
https://youtu.be/grda6elgVW0",0,1 year ago,0
6,Remlalliana Ralte,Haha nice comment,0,1 year ago,0
6,Jaky Leon,I finished my work ...,0,10 months ago,0
6,Dr.Maryam,"Watch my last video, medical doctor study session ( english subtitles included )",0,5 months ago,0
6,Nshira Quaye,lmao noo my break is not over yet!,0,3 months ago,0
6,I_wage USA,"Hey Kaley,  let us help you with your assignments ..place an order now at electwriting.com",0,3 months ago,0
6,Neha Kumaran,haha thankss,0,3 months ago,0
6,LAYAN,wbu,0,3 months ago,0
6,Rosa Hedin,NO,0,6 days ago,0
7,salma agrirane,"her: studying
me: twerking to the song",3.2K,1 year ago (edited),21
7,Sky Salas,🤣🤣🤣,17,1 year ago,0
7,Bell Skyx,"Not gonna lie, i tried it and its kinda calming",96,1 year ago,0
7,CaptainRono,this comment doesn't help me focus on school xD,59,1 year ago,0
7,Vladimir Samsonov,lol hsahahahaha,6,11 months ago,0
7,aLl aRoUnD mE aRe FaMiLiAr fAcEs,😂😂,3,10 months ago,0
7,SkySick,Lmao 😂,1,10 months ago,0
7,Timberr 55,Spat my coffee all over my textbook because i imagined it 😂❌,21,9 months ago,0
7,ぢ囲トRyumilk,🤣🤣🤣😂😂,3,9 months ago,0
7,Mohamed Taha,Im fucking dead. Thank you for this comment.,12,9 months ago,0
7,Brecht Van Hoey,legend.... ,9,8 months ago,0
7,Kate Miller,😂🤣🤣🤣,2,7 months ago,0
7,Sence Sevda,hello my new channel ❤️ https://www.youtube.com/channel/UCaRkCmD7V7hSMjrb9mFyKgA,0,7 months ago,0
7,Sence Sevda,hello my new channel ❤️ https://www.youtube.com/channel/UCaRkCmD7V7hSMjrb9mFyKgA,0,7 months ago,0
7,[ Pastelbunny ],ew wtf,0,6 months ago,0
7,Salma Salma,its sarcasm,1,5 months ago,0
7,salma agrirane,omg yall hahah thanks,0,5 months ago,0
7,Russelliana Clark,Lol,2,3 months ago,0
7,Aligatorxx3,@Timberr 55 aAAAAAAAAAAAAAhahahaaaa 🤣,1,2 months ago,0
7,rozalin ramu,Same yo,1,2 months ago,0
7,Yassine,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh im done,1,1 month ago,0
7,KDEP FullBLC,LOOOOL,0,3 weeks ago,0
8,Akarsh Rastogi,I took a 1 minute break in university and it accidentally lasted entire 4 years lmao,3K,1 year ago,12
8,Ashley Rose,Relatable,28,1 year ago,0
8,whatever it takes.,Akarsh Rastogi mine lasted 2 years but I'm back 😂😂,24,1 year ago,0
8,R N,Thas FACTS but its high school for me,5,1 year ago,0
8,Vicky S,Engineer detected.,21,1 year ago,0
8,Sara,"I once said ""I will only skip this class today""
It's been already 2 years where I've been saying that every week .. every day... Every hour
Just please, end my suffering cicle",13,1 year ago,0
8,trap 007,master of procrastinating,6,1 year ago,0
8,Hrishi,Rassstogi 🤔,4,11 months ago,0
8,Jossy J. Kress,the mistery of life,2,11 months ago,0
8,Sence Sevda,hello my new channel ❤️ https://www.youtube.com/channel/UCaRkCmD7V7hSMjrb9mFyKgA,1,7 months ago,0
8,Felicmarisonn,"@Sara Just came across your comment.. So how is it now? I`m a procrastinater myself but I started to realize it was toxic for my health and the balance between work/studying/whatever and the enjoyable things in life. Its a long way up :) !    One can only practice focussing and I am far from being as productive as many of those YouTubers nowadays. But its a tremendous success to even just get a few things done in time, whatsoever. Anyways, I wish you the best and everyone who comes across this comment section. I`m glad the ""study with me"" videos are more of a helpful kind and not like ""I`m showing my oh-so productive lifestyle, I`m focused all the time, my daily life is coloured in pastells"".                                                  No offense- I do watch vlogs like these from time to time, but its not reall helpful for someone to get told you can increase your productivity within a 15 minutes video of someones perfect study routine..    Soo.. I am a huge fan of TheStrive Studies videos, they actually have a lot of impact on my studying. Its a simple help with getting productive while studying.                                                                                                           Sorry for this long ""answer"" to ur 6 months old comment :D.. But I felt like writing a comment, so here we go.               All the best to everyone!",7,5 months ago,0
8,Seda A.,hahahah a:D,0,4 months ago,0
8,STUDY FOOL,"@Sara OUR subconscious is wired to win so once to you have started skipping your classes you actually winning in skipping classes so make yourself believe if u skip you loose so try to attain this mindset focus on winning, it might help.",1,4 months ago,0
9,R7productions,I'm watching this at 2x speed to finish the 2.5 hour study session quicker.,274,2 months ago,8
9,"Mariyam. s-61, sec: C",😂😂,7,2 months ago,0
9,V el hareketi,So great dkfjdjjdkdkdkkd müc,3,2 months ago,0
9,Enna_oop,Modern problems require modern solutions,24,2 months ago,0
9,Daniyah,big brain,3,1 month ago,0
9,VinIssues,lol hahah,1,1 month ago,0
9,Paolini,big brain,3,3 weeks ago,0
9,jazzywuzzy doubunhgu,you just defeated the purpose of this video😂,4,1 week ago,0
9,No Longer Human,😆😆😆,1,6 days ago,0
10,Emma Wolf,"This is going to be weird but I used to watch this when I was at a terrible school and extremely alone. I spent a lot of time studying alone and feeling like I had no friends. This helped me in not only my schoolwork but not feeling so lonely, thank you ♡",205,3 months ago,4
10,Asynjur,Me too,1,2 months ago,0
10,Odin’s Raven,Nothing weird about that--I actually think that is highly adaptive. I'm here in 2020--in an online program anyway--but I am lonely as a student as well and this really is comforting in a unique way. It makes me kind of look forward to studying. A nice reprieve from all of the ugliness in the world around me that can make focusing on school feel impossible. So grateful for this channel <3<3<3,9,2 months ago,0
10,Stacey_ 01,@Odin’s Raven Hope your online classes are going well!,3,2 months ago,0
10,Lê Đức,ai hỏi,0,3 weeks ago,0
11,Naz,This comment section is full of people sharing their successes and I think thats awesome,33,2 weeks ago,0
12,Nina Huang,"Who else is scrolling through the comments instead of studying right now? 😂 

👇",173,4 months ago,2
12,I_wage USA,"Hey Nina,  let us help you with your assignments ..place an order now at electwriting.com",0,3 months ago,0
12,jaypzl,LOL! Guilty. But I'mma get started in a minute...,3,2 months ago,0
13,Lakshman Gandhi,Plot twist: She is watching a movie.,160,3 months ago,5
13,Jessica Porec,HA!,1,3 months ago,0
13,She Cool,"By keeping her Head down And Turning Pages? 
lol",2,2 months ago,0
13,She Cool,@Arpitha Mohan i mean i was just Fact-ing it.😁😅,1,2 months ago,0
13,Dr. Apollo,She Cool cinema studies,0,2 months ago,0
13,She Cool,@Dr. Apollo lol,0,2 months ago,0
14,Charlotte Ashley Woo,"Currently in my first year of uni, I'm watching this as I'm trying to get use to uni life and coping with my mental health. Thank you for this video, it helped so much especially during quarantine times where no one is around.",15,2 weeks ago,0
15,Abeera Aslam,"emotional music starts playing
me: starts crying",704,11 months ago,6
15,VeeMaxine,"That's exactly what happened to me lol I was ready to focus...that first song started and my soul was like ""we ain't doing this. time to cry.""",10,4 months ago (edited),0
15,melody kuromi bebbies,timestamp?,0,3 months ago,0
15,VeeMaxine,@melody kuromi bebbies the first song that she plays,0,3 months ago,0
15,Victoria de Castro,"hahahaha yes, for me lofi hiphop and ~alpha waves are less likely to have that effect",0,3 months ago,0
15,Misty Morgan,"Omg I literally started tearing up when I came to this comment, wtf is wrong with me haha",1,3 months ago,0
15,I_wage USA,"Hey Abeera,  let us help you with your assignments ..place an order now at electwriting.com",0,3 months ago,0
16,Mirine TV,"guys I have an important exams to pass this septembre pls pray for me im working hard


I go back to this comment to tell you that i pass  the exam and now i can study in the university that I dream of for 2 years. I'm soo happy 😍😍😍",152,3 months ago (edited),44
16,mengeti dlamini,"All the best, hope you do well.",4,3 months ago,0
16,Mirine TV,@mengeti dlamini ty sweety,0,3 months ago,0
16,Shanguai H,Good luck! You got this! :D,1,3 months ago,0
16,Mirine TV,@Shanguai H thanx,0,3 months ago,0
16,Calum Chan,"I got one also, feel your pain. Good luck to us all.",2,3 months ago,0
16,V _VITHURSHAN,good luck : ),1,3 months ago (edited),0
16,Mirine TV,@Calum Chan ty good luck too,0,3 months ago,0
